date,game,word,wordfreq_commonality,subtlex_commonality,trend_day_language,trend_avg_200_language,trend_day_global,trend_avg_200_global
2024-08-14,1152,shore,0.0004,0.2855,100.0,59.44,93.0,83.87
2024-08-13,1151,neigh,0.0,0.0202,100.0,0.06,100.0,1.58
2024-08-12,1150,skiff,0.0,0.0515,100.0,0.12,100.0,1.62
2024-08-11,1149,scone,0.0,0.0375,100.0,0.28,100.0,30.66
2024-08-10,1148,medic,0.0001,0.1789,0.0,2.78,84.0,74.2
2024-08-09,1147,ounce,0.0001,0.152,80.0,3.83,88.0,77.32
2024-08-08,1146,saucy,0.0,0.0749,100.0,0.54,100.0,30.7
2024-08-07,1145,macaw,0.0,0.0202,100.0,0.04,100.0,4.56
2024-08-06,1144,anvil,0.0,0.0459,100.0,0.57,100.0,11.96
2024-08-05,1143,ensue,0.0,0.0171,100.0,0.52,100.0,1.62
2024-08-04,1142,lower,0.0025,0.3157,55.0,67.15,87.0,87.77
2024-08-03,1141,scale,0.0013,0.221,29.0,39.47,48.0,60.67
2024-08-02,1140,flake,0.0,0.0951,14.0,1.28,53.0,32.02
2024-08-01,1139,chalk,0.0001,0.1432,24.0,5.05,66.0,57.92
2024-07-31,1138,penne,0.0,0.0,100.0,0.11,100.0,30.96
2024-07-30,1137,feral,0.0,0.0156,100.0,6.17,100.0,27.79
2024-07-29,1136,super,0.0023,0.3104,24.0,25.07,5.0,7.3
2024-07-28,1135,smock,0.0,0.0375,100.0,0.0,100.0,8.17
2024-07-27,1134,juice,0.0004,0.3127,71.0,68.32,95.0,85.84
2024-07-26,1133,awash,0.0,0.0254,100.0,0.08,100.0,2.03
2024-07-25,1132,porch,0.0001,0.2221,0.0,13.76,78.0,66.42
2024-07-24,1131,forte,0.0,0.0436,100.0,46.06,100.0,77.86
2024-07-23,1130,prong,0.0,0.0239,100.0,0.57,100.0,19.32
2024-07-22,1129,cadet,0.0,0.1403,15.0,1.32,38.0,27.48
2024-07-21,1128,speck,0.0,0.0987,100.0,2.25,100.0,44.5
2024-07-20,1127,shaft,0.0002,0.2034,28.0,4.22,71.0,56.58
2024-07-19,1126,refer,0.0005,0.1992,100.0,23.0,94.0,68.33
2024-07-18,1125,nerdy,0.0,0.0362,100.0,1.07,100.0,38.94
2024-07-17,1124,quite,0.0037,0.4995,100.0,60.47,87.0,73.83
2024-07-16,1123,decoy,0.0,0.1428,100.0,0.84,100.0,28.37
2024-07-15,1122,swoon,0.0,0.0448,100.0,0.69,100.0,5.54
